investor,investor_email,sebi_reg_no,aif_category,investor_city,startup_name,domain,round,amount_usd,headquarters,date
12 Flags Group,,,,,Codeyoung,K-12 EdTech,Series A,2500000.0,Karnataka,
4point0 Health Ventures,,,,,MedVital,MedTech,Pre-seed funding,8.4,New Delhi,
8i Ventures,,,,,Dalvoy,Test Preparation Tech,Seed,680000.0,Delhi,
AFL,,,,,Newron,EdTech – K-12,Seed,4440000.0,Delhi,
AIG Direct LLC,,,,,Acadru,EdTech,Pre-Series A,500000.0,Gurgaon,
Accel,,,,,Arivihan,EdTech,Pre-Series A,4200000.0,Indore,
Amit Singhal,,,,,Innovartan Learning Solutions,EdTech,Pre-seed Funding,5.0,Noida,
Apis Global Growth Fund III,,,,,Leap,EdTech - Student Mobility,Primary and Secondary Equity,65000000.0,Bengaluru,
Apis Growth Markets Fund III,,,,,Leap,EdTech - Student Mobility,Primary and Secondary Equity,65000000.0,Bengaluru,
Astir Ventures,,,,,Bower,EdTech,Seed Funding,11.5,Hyderabad,
BlueOrchard Microfinance Fund,,,,,Varthana,NBFC - Education Loans,Funding Round,15000000.0,Bengaluru,
Blume Venture,,,,,Uolo,EdTech > K-12 EdTech,Series A,7000000.0,Haryana,
Capria Fund,,,,,Eduvanz,Education Loan - FinTech,Bridge Funding Round,25.52,Mumbai,
Claypond Capital (Ranjan Pai Family Office),,,,,GrayQuest,EdTech/FinTech,Series B (Equity),80.0,Mumbai,
Colossa Ventures,,,,,CENTA,Education,Series A1,20.0,Bengaluru,
Daituzi,,,,,ODA Class,EdTech,Series B,500000.0,Bengaluru,
ETS Capital,,,,,Suraasa,EdTech - Teacher Training,New Funding Round,6000000.0,Gurugram,
Elevar Equity,Meetali.Mistry@iiflw.com,IN/AIF3/12-13/0016,Category III,Mumbai,FinX,Skilling Platform,Funding Round,6000000.0,Mumbai,
Epiq Capital,,,,,Bhanzu,EdTech,Funding Round,16500000.0,Hyderabad,
Family Offices,,,,,Invest4Edu,EdTech,Seed Round,3000000.0,Mumbai,
Filadd,,,,,Padhle,EdTech > K-12 EdTech,Seed,,"Madhya Pradesh, India",
GSV Ventures,,,,,SiglQ.ai,EdTech,Seed Round,9500000.0,-,
Gokul Rajaram,,,,,Innovartan Learning Solutions,EdTech,Pre-seed Funding,5.0,Noida,
Gray Matters Capital,,,,,GyanDhan,Higher Education Tech,Series A,5850000.0,Delhi,
Heritas Capital,,,,,Kreedo,EdTech,Series A,4000000.0,Bengaluru,
High-Net-Worth Individuals (HNIs),,,,,Bower,EdTech,Seed Funding,11.5,Hyderabad,
Hornbill Capital,,,,,PhysicsWallah,EdTech,Series B,210000000.0,,
IAN Angel Fund,ashutosh.naik@iiflw.com,IN/AIF3/16-17/0286,Category III,Mumbai,SVASTEK,Medtech,Seed Round,2.0,New Delhi,
IIFL Fintech Fund,,,,,GrayQuest,EdTech/FinTech,Series B (Equity),80.0,Mumbai,
