startup_name,domain,round,amount_usd,investor,date,source,scraped_at
Gainhub.Ai,,Pre-Series,100000.0,Growth Strategy Ventures,,startuptalky_2025,2026-03-18
Onlygood ai,,Seed Round,4.0,Goel Group,,startuptalky_2024,2026-03-18
Onlygood ai,,Seed Round,4.0,IIT Madras Incubation Cell (IITMIC),,startuptalky_2024,2026-03-18
Onlygood ai,,Seed Round,4.0,and Daimler India Commercial Vehicles (DICV),,startuptalky_2024,2026-03-18
The Binge Town,-,Conventional Debt,110000.0,Varun Alagh,,startuptalky_2026,2026-03-18
The Binge Town,-,Angel,110000.0,Varun Alagh,,startuptalky_2026,2026-03-18
Swish,10-minute Food Delivery,Maiden Funding Round,2000000.0,Accel,,startuptalky_2024,2026-03-18
Heliware,3D Geospatial Platform,Pre-Series A,4.0,JITO Incubation,,startuptalky_2024,2026-03-18
Heliware,3D Geospatial Platform,Pre-Series A,4.0,Innovation Foundation (JIIF),,startuptalky_2024,2026-03-18
Heliware,3D Geospatial Platform,Pre-Series A,4.0,TiE,,startuptalky_2024,2026-03-18
Heliware,3D Geospatial Platform,Pre-Series A,4.0,Vatvistaar Ventures,,startuptalky_2024,2026-03-18
Aarna.ml,AI,,6700000.0,Exfinity Venture Partners,,startuptalky_2024,2026-03-18
Beacon.li,AI,Series A,7000000.0,Sorin Investments,,startuptalky_2025,2026-03-18
Blinkit-AI,AI,Seed,1200000.0,Foliflex Cables,,startuptalky_2025,2026-03-18
Budy.bot,AI,New Funding Round,4200000.0,RTP Global,,startuptalky_2024,2026-03-18
CalligoTech,AI,Pre-Series A,1100000.0,Seafund,,startuptalky_2025,2026-03-18
CalligoTech,AI,Pre-Series A,1100000.0,Artha Venture Fund,,startuptalky_2025,2026-03-18
Convin,AI,Funding Round,6500000.0,India Quotient,,startuptalky_2024,2026-03-18
DaveAI,AI,Pre-Series A,,Inflection Point Ventures,,startuptalky_2025,2026-03-18
Drizz,AI,Seed,2700000.0,Stellaris Venture Partners,,startuptalky_2025,2026-03-18
Emergent,AI,Series A,23000000.0,Lightspeed Ventures,,startuptalky_2025,2026-03-18
Harvested Robotics,AI,Seed Round,5.0,Arali Ventures,,startuptalky_2025,2026-03-18
Hyperbots,AI,Seed Funding,6500000.0,Arkam Ventures,,startuptalky_2025,2026-03-18
Hyperbots,AI,Seed Funding,6500000.0,Athera Venture Partners,,startuptalky_2025,2026-03-18
Hypergro.ai,AI,Pre-Series A,7.0,Eternal Capital,,startuptalky_2025,2026-03-18
Linkrunner,AI,-,560000.0,Titan Capital,,startuptalky_2025,2026-03-18
MaxIQ (formerly Gyaan AI),AI,Seed Funding,7800000.0,Dell Technologies Capital,,startuptalky_2025,2026-03-18
MaxIQ (formerly Gyaan AI),AI,Seed Funding,7800000.0,Intel Capital,,startuptalky_2025,2026-03-18
Metaforms,AI,Series A,9000000.0,Peak XV Partners,,startuptalky_2025,2026-03-18
Mugafi,AI,Seed Round,3000000.0,StartupXseed,,startuptalky_2025,2026-03-18
Nexthop AI,AI,Funding Round,110000000.0,Lightspeed Venture Partners,,startuptalky_2025,2026-03-18
Nurix AI,AI,Series A,27500000.0,General Catalyst﻿,,startuptalky_2024,2026-03-18
Nurix AI,AI,Series A,27500000.0,Accel,,startuptalky_2024,2026-03-18
Nurix AI,AI,Series A,27500000.0,and Meraki Labs,,startuptalky_2024,2026-03-18
OnFinance,AI,Pre-Series A,4200000.0,Peak XV (Surge),,startuptalky_2025,2026-03-18
Pascal AI Labs,AI,Seed,3100000.0,Kalaari Capital,,startuptalky_2025,2026-03-18
Phot.AI,AI,Seed Funding,2700000.0,Info Edge Ventures,,startuptalky_2025,2026-03-18
Phot.AI,AI,Seed Funding,2700000.0,Together Fund,,startuptalky_2025,2026-03-18
Phot.AI,AI,Seed Funding,2700000.0,AC Ventures,,startuptalky_2025,2026-03-18
Reveal Healthtech,AI,Series A,7200000.0,Leo Capital,,startuptalky_2025,2026-03-18
Rocket,AI,Seed,15000000.0,Salesforce Ventures,,startuptalky_2025,2026-03-18
Rocket,AI,Seed,15000000.0,Accel,,startuptalky_2025,2026-03-18
Roomstory.ai,AI,Pre-seed,3.0,Rukam Sitara Fund,,startuptalky_2025,2026-03-18
Scalekit,AI,Seed,5500000.0,Together Fund,,startuptalky_2025,2026-03-18
Scalekit,AI,Seed,5500000.0,Z47,,startuptalky_2025,2026-03-18
TraqCheck,AI,—,,Alok Oberoi (chairman,,startuptalky_2025,2026-03-18
TraqCheck,AI,—,,Everstone Capital); Siddharth Mehta (founder,,startuptalky_2025,2026-03-18
TraqCheck,AI,—,,Bay Capital),,startuptalky_2025,2026-03-18
UGX.ai,AI,Seed,1000000.0,Blue Ocean Venture Partners,,startuptalky_2025,2026-03-18
Vahan.ai,AI,–,,Temasek,,startuptalky_2025,2026-03-18
Vaya,AI,Funding Round,1500000.0,Accel,,startuptalky_2025,2026-03-18
Vaya,AI,Funding Round,1500000.0,Arkam Ventures,,startuptalky_2025,2026-03-18
Aivar Innovations,AI & Cloud Solutions,Seed,4600000.0,Sorin,,startuptalky_2026,2026-03-18
Netradyne,AI & Edge Computing SaaS,Series D,90000000.0,Point72 Private Investments,,startuptalky_2025,2026-03-18
Netradyne,AI & Edge Computing SaaS,Series D,90000000.0,Qualcomm Ventures,,startuptalky_2025,2026-03-18
Netradyne,AI & Edge Computing SaaS,Series D,90000000.0,Pavilion Capital,,startuptalky_2025,2026-03-18
Zivy,AI - Workplace Solutions,Pre-seed Round,1200000.0,Blume Ventures,,startuptalky_2024,2026-03-18
Zivy,AI - Workplace Solutions,Pre-seed Round,1200000.0,Paradigm Shift Capital,,startuptalky_2024,2026-03-18
Zivy,AI - Workplace Solutions,Pre-seed Round,1200000.0,iSeed,,startuptalky_2024,2026-03-18
Zivy,AI - Workplace Solutions,Pre-seed Round,1200000.0,Everywhere Ventures,,startuptalky_2024,2026-03-18
FurtherAI,AI Assistants,Funding Round,5000000.0,Nexus Venture Partners,,startuptalky_2025,2026-03-18
RapidCanvas,AI Business Transformation,Series A,16000000.0,Peak XV Partners,,startuptalky_2024,2026-03-18
