startup_name,domain,round,amount_usd,investor,date,source,scraped_at,headquarters
Onlygood ai,,Seed Round,4.0,Goel Group,,,2026-04-20,
Onlygood ai,,Seed Round,4.0,IIT Madras Incubation Cell (IITMIC),,,2026-04-20,
Onlygood ai,,Seed Round,4.0,and Daimler India Commercial Vehicles (DICV),,,2026-04-20,
Swish,10-minute Food Delivery,Maiden Funding Round,2000000.0,Accel,,,2026-04-20,Bengaluru
Heliware,3D Geospatial Platform,Pre-Series A,4.0,JITO Incubation,,,2026-04-20,Kolkata
Heliware,3D Geospatial Platform,Pre-Series A,4.0,Innovation Foundation (JIIF),,,2026-04-20,Kolkata
Heliware,3D Geospatial Platform,Pre-Series A,4.0,TiE,,,2026-04-20,Kolkata
Heliware,3D Geospatial Platform,Pre-Series A,4.0,Vatvistaar Ventures,,,2026-04-20,Kolkata
Aarna.ml,AI,,6700000.0,Exfinity Venture Partners,,,2026-04-20,Bengaluru
Budy.bot,AI,New Funding Round,4200000.0,RTP Global,,,2026-04-20,India
Convin,AI,Funding Round,6500000.0,India Quotient,,,2026-04-20,Bengaluru
Nurix AI,AI,Series A,27500000.0,General Catalyst﻿,,,2026-04-20,Bengaluru
Nurix AI,AI,Series A,27500000.0,Accel,,,2026-04-20,Bengaluru
Nurix AI,AI,Series A,27500000.0,and Meraki Labs,,,2026-04-20,Bengaluru
Zivy,AI - Workplace Solutions,Pre-seed Round,1200000.0,Blume Ventures,,,2026-04-20,Bengaluru
Zivy,AI - Workplace Solutions,Pre-seed Round,1200000.0,Paradigm Shift Capital,,,2026-04-20,Bengaluru
Zivy,AI - Workplace Solutions,Pre-seed Round,1200000.0,iSeed,,,2026-04-20,Bengaluru
Zivy,AI - Workplace Solutions,Pre-seed Round,1200000.0,Everywhere Ventures,,,2026-04-20,Bengaluru
RapidCanvas,AI Business Transformation,Series A,16000000.0,Peak XV Partners,,,2026-04-20,Austin
RapidCanvas,AI Business Transformation,Series A,16000000.0,Titanium Ventures,,,2026-04-20,Austin
RapidCanvas,AI Business Transformation,Series A,16000000.0,Accel,,,2026-04-20,Austin
RapidCanvas,AI Business Transformation,Series A,16000000.0,Valley Capital Partners,,,2026-04-20,Austin
Neysa,AI Cloud,Series A,30000000.0,NTTVC,,,2026-04-20,Mumbai
Neysa,AI Cloud,Series A,30000000.0,Z47 (formerly Matrix Partners India),,,2026-04-20,Mumbai
Neysa,AI Cloud,Series A,30000000.0,Nexus Venture Partners,,,2026-04-20,Mumbai
Enterpret,AI Customer Feedback Platform,Series A,20800000.0,Canaan Partners,,,2026-04-20,San Francisco
Data Science Wizards,AI Innovation,Seed Round,1400000.0,Not disclosed,,,2026-04-20,Mumbai
LLUMO AI,AI Optimisation,Seed Round,1000000.0,SenseAI Ventures,,,2026-04-20,Noida
